Intent,Response,Intent (Roman Urdu),Response (Roman Urdu)
How to clean my vagina?,"If you want to wash your vagina, you should wash do it with warm water. If you’d like, you can use a mild soap that won’t irritate the skin — but this isn’t necessary. Spread your lips apart and gently cleanse around the folds, using a clean washcloth or your hands. Avoid getting water or soap inside your vagina.

In addition to washing your vulva, it’s a good idea to wash the anus and the area between your vulva and anus every day. It’s best to wash “front to back” — in other words, wash your vulva first and then your anus. Otherwise, bacteria from the anus can spread to your vagina, which can cause infections.",apni andaam nihani/vagina ko kaisay saaf karoon ?,"agar aap apni andaam nihani/vagina ko dhona chahtay hain, to aap ko usay garam pani se dhona chahiye. agar aap chahain to, aap halkay sabun ka istemaal kar satke hain jo jald ko kharish nahi kere ga - lekin yeh zaroori nahi hai. –apne honton ko allag allag karen aur tahoon ke ird gird aahista se saaf karen, saaf wash clothe ya –apne hathon se. apni andaam nihani/vagina ke andar pani ya sabun haasil karne se guraiz karen .
 
 –apne vulva ko dhoney ke ilawa, yeh aik acha khayaal hai ke aap har roz maq-ad aur –apne vulva aur maq-ad ke darmiyan walay hissay ko dho len."" samnay se peechay"" dhona behtar hai - dosray lafzon mein, pehlay –apne volva ko aur phir –apne maq-ad ko dhuain. doosri soorat mein, maq-ad se bacteria aap ki andaam nihani/vagina mein phail satke hain, jo infection ka sabab ban satke hain ."
Do I ovulate on the contraceptive pill?,"No. If you take your pill consistently and correctly, you shouldn’t ovulate. This is the primary way the pill prevents pregnancy. In a usual (no-pill) cycle, the body’s natural reproductive hormones fluctuate up and down, taking your body through a process of preparing an egg for release, releasing that egg, and preparing your uterus to accept a potentially fertilized egg.

The hormones in the contraceptive pill stop and prevent your ovaries from preparing and releasing eggs. They stop the usual hormonal “cycling”, including ovulation, the typical growth of the endometrium, and the natural period, meaning you ideally should not be ovulating and can't get pregnant if taken correctly.",kya mein contraceptive ki goli par beza/ovulate karti hon ?,"nahi, agar aap apni goli musalsal aur sahih tareeqay se letay hain, to aap ko beza/ovulate nahi hona chahiye. yeh goli hamal ko roknay ka bunyadi tareeqa hai. aik mamool ke chakkar mein, jism ke qudrati toleedi/reproductive hormones oopar neechay hotay hain, aap ke jism ko aik anday ko rihayi ke liye tayyar karne, is anday ko jari karne, aur aap ke bacha daani/uterus ko mumkina tor par fertilizers anday ko qubool karne ke liye tayyar karte hain .
 
 Maney hamal goli /contraceptive pillmein mojood hormones aap ke beza daani/ovary ko anday tayyar karne aur chorney se roktay hain. woh mamool ke hormonal"" sayiklng"" ko roktay hain, Bashmole beza, endomentrium ki anam nashonuma, aur qudrati muddat, yani aap ko misali tor par beza nahi hona chahiye aur agar sahih tareeqay se liya jaye to aap haamla nahi ho satke ."
Why is my bleeding different on the contraceptive pill?,"The contraceptive pill prevents the lining of your uterus (your endometrium) from growing thicker, as it would in a typical menstrual cycle. It also prevents ovulation and the typical cycling of reproductive hormones. When you have withdrawal bleeding, the bleeding tends to be lighter than normal menstrual bleeding. The contraceptive pill prevents the lining of your uterus (your endometrium) from growing thicker, as it would in a typical menstrual cycle. It also prevents ovulation and the typical cycling of reproductive hormones. When you have withdrawal bleeding, the bleeding tends to be lighter than normal menstrual bleeding.",Maney hamal goli /contraceptive pillpar mera khoon mukhtalif kyun hai ?,"Maney hamal goli /contraceptive pillaap ke bacha daani/uterus ( aap ke endomentrium ) ki aster/lining ko mouti honay se rokti hai, jaisa ke yeh aik aam mahvari mein hota hai. yeh ovulation aur toleedi hormones ki aam sayiklng ko bhi rokta hai. jab aap ko wapsi ka khoon beh raha hai to, khoon behna aam mahvari ke khoon se halka hota hai. Maney hamal goli /contraceptive pillaap ke bacha daani/uterus ( aap ke enfomentrium ) ki aster/lining ko mouti honay se rokti hai, jaisa ke yeh aik aam mahvari mein hota hai. yeh ovulation aur toleedi hormones ki aam sayiklng ko bhi rokta hai. jab aap ko wapsi ka khoon beh raha hai to, khoon behna aam mahvari ke khoon se halka hota hai ."
"You taught me a lot, thanks",Anytime!,"aap ne mujhe bohat kuch sikhaya, shukriya",kisi bhi waqt !
Can I get my periods early,"Yes, that is possible. If your period comes early once in a while, it is likely normal and not a cause for concern. Menstruation might start early because of a change in your lifestyle, intense physical exercise, illness, or stress. However, sometimes it happens with no reason, and this is still not necessarily abnormal. So, if you get your period a week early, try not to worry. If your period is consistently irregular, you can let your health care provider know to rule out any problems.",kya mein apni mahvari jald haasil kar sakti hon ?,"haan, yeh mumkin hai. agar aap ki mahvari thori der mein aik baar jaldi aati hai, to yeh mumkina tor par mamool ki baat hai aur tashweesh ka baais nahi hai. aap ke tarz zindagi mein tabdeeli, shadeed jismani werzish, bemari, ya tanao ki wajah se mahvari jald shuru ho sakti hai. taham, baaz auqaat yeh baghair kisi wajah ke hota hai, aur yeh ab bhi zaroori nahi ke ghair mamooli ho. lehaza, agar aap ko aik hafta qabal mahvari aati hai, to pareshan honay ki koshish nah karen. agar aap ki mahvari mustaqil tor par be qaida rehti hai, to aap –apne sehat ki dekh bhaal faraham karne walay ko bta satke hain ke woh kisi bhi pareshani ko mustard karen ."
Why did I get my periods early,"Some possible causes of getting your period early: 

Hormonal imbalance 
Medical conditions
Taking certain medications 
Perimenopause
Over-exercising
Poor nutrition
Stress
Sudden weight gain or loss 
Your birth control method can also affect your cycle. An emergency contraceptive pill can cause an early period. If you skip a few combined oral contraceptive pills, your hormone levels may drop, and bleeding may start before it’s due.",mujhe mahvari jaldi kyun aati hai ?,"aap ki mahvari jald shuru honay ki kuch mumkina wajohaat :
 
 hormonal Adam tawazun
 tibbi ahwaal/medical conditions
 kuch duwaein lena
 perimenopause
 ziyada werzish karna
 naaqis ghizaiyat
 tanao
 wazan mein achanak izafah ya kami
 aap ka pedaishi control ka tareeqa aap ke cycle ko bhi mutasir kar sakta hai. hungami Maney hamal goli /contraceptive pillibtidayi mahvari ka sabab ban sakti hai. agar aap chand mushtarqa Maney hamal/contraceptive golion ko chore dete hain, to aap ke hormone ki satah kam ho sakti hai, aur khoon behna shuru ho sakta hai is ke muqarara waqt se pehlay ."
"A lot of people get period clots, is that normal?","Throughout your period, you will bleed about 2-3 tablespoons (35-45 ml) of blood. This includes the uterine lining, which is made of cells similar to skin cells, blood vessels, and glands. Every period is unique and each varies in frequency, heaviness, color, and texture. Clots or clumps on the heaviest days of a period may be typical for some people. Period blood clots can appear like clumps or chunks of blood, and/or a jelly-like consistency and can vary in size and number.","bohat se logon ko period clots hotay hain, kya yeh normal hai ?","aap ki poori periods ke douran, aap ko taqreeban 2-3 chamach ( 35-45 mili letter ) khoon bahe ga. is mein reham ki parat shaamil hai, jo jald ke khaliyaat, khoon ki nalion aur ghudood se mlitay jaltay khalion se bani hoti hai. har daur munfarid hota hai aur har aik frikoynsi, bhaari pan, rang aur saakht mein mukhtalif hota hai. haiz ke sab se bhaari dinon mein jamnay ya clips kuch logon ke liye aam ho satke hain. dorania mein khoon ke lothray clips ya khoon ke tukron ki terhan zahir ho satke hain, ya jelly jaisi mustaqil mizaji aur size aur tadaad mein mukhtalif ho satke hain ."
Will I get menopause? ,"Menopause is when someone’s menstrual cycles come to an end, and pregnancy is no longer possible. The word menopause is from the Greek root word men, meaning “month” and pausis meaning pause or cessation.

Menopause is a unique experience— did you know humans are 1 of only 4 species on the planet who experience it. It can bring a lot of new changes, and for some people it might not feel like much of a change at all.

Menopause is a normal life phase, but can also be induced by surgery, drug treatments, or medication. It technically begins after your last menstrual period, but your healthcare provider will consider you to have reached menopause after 12 months without a period",kya mujhe rajunoorti/menopause ho jaye gi ?,"rajonoorti/menopause is waqt hoti hai jab kisi ki mahvari khatam ho jati hai, aur hamal ab mumkin nahi rehta. rajonoorti/menopause ka lafz yonani zabaan ke lafz mean se hai, jis ka matlab hai"" maheena"" aur pausis ka matlab hai tawaquf ya ta-attul .
 
 rajonoorti/menopause aik anokha tajurbah hai — kya aap jantay hain ke insaan kurrah arz par sirf 4 parchaiyon mein se 1 hai jo is ka tajurbah karte hain. yeh bohat saari nai tabdeelian laa sakta hai, aur kuch logon ke liye yeh bilkul bhi tabdeeli ki terhan mehsoos nahi kar sakta .
 
 rajonoorti/menopause zindagi ka aik aam marhala hai, lekin usay surgery, manshiat ke ilaaj, ya dawaiyon se bhi mutasir kya ja sakta hai. yeh takneeki tor par aap ke aakhri mahvari ke baad shuru hota hai, lekin aap ka sehat ki dekh bhaal faraham karne wala aap ko 12 mah ke baad baghair kisi mahvari ke rajonoorti/menopause tak pounchanay par ghhor kere ga ."
What is perimenopause?,"Perimenopause is the body’s transition into menopause (fun fact: peri comes from the Greek word for “around”). You may not have heard the term before, because people often confuse perimenopause (the transition period) with menopause (the time after your last period). But guess what? They're actually 2 different phases!  

Perimenopause can be as short as a few months or last up to 8 years. On average, it lasts around 4–5 years. During perimenopause, hormone levels fluctuate and then decline, giving rise to new sensations, symptoms, and changes. These experiences of perimenopause vary widely across people and cultures, your dadi might have had different experiences then my dadi due to all the various reasons.",perimenopause kya hai ?,"perimenopause jism ki rajonoorti/menopause mein muntaqili hai ( tafrehi haqeeqat : peeri yonani lafz"" aas paas"" se aaya hai ). ho sakta hai ke aap ne is istilaah ko pehlay nah suna ho, kyunkay log aksar perimenopause ( transistion period ) ko rajonooti ( aap ki aakhri muddat ke baad ka waqt ) ke sath uljhaate hain. lekin andaza lagayen kya? woh darasal 2 mukhtalif marahil hain !
 
 perimenopause chand mahino tak mukhtasir ya 8 saal tak jari reh sakta hai. ausatan, yeh taqreeban 4-5 saal tak rehta hai. perimenopause ke douran, hormone ki satah mein utaar charhao aata hai aur phir kami waqay hoti hai, jis se naye ehsasat, alamaat aur tabdeelian janam layte hain.perimenopause ke yeh tajarbaat logon aur sqafton mein wasee pemanay par mukhtalif hotay hain, aap ke waalid sahib ko mukhtalif wajohaat ki bana par mukhtalif tajarbaat hue hon ge ."
Why is it important for me to know about menopause and perimenopause,"Every woman and person with a cycle who goes through the natural aging process will experience these life stages. Despite this, they are still underrepresented in culture and research.

Knowing what changes are possible can help you identify the transition in yourself. Also, because it’s still possible to have or develop reproductive conditions like polycystic ovary syndrome (PCOS) or endometriosis during perimenopause, it’s important to know what the probable signs of perimenopause are, and what symptoms might be signs of something else. No harm in being ready for what is to come right?",mere liye rajonoorti/menopause aur perimenopause ke baray mein janna kyun zaroori hai .,"har aik aurat aur shakhs jo aik cycle ke sath qudrati Umar bherne ke amal se guzarta hai zindagi ke un marahil ka tajurbah kere ga. is ke bawajood, woh ab bhi Saqafat aur tehqeeq mein kam numaindagi kar rahay hain .
 
 yeh janna ke kon si tabdeelian mumkin hain aap ko –apne andar tabdeeli ki nishandahi karne mein madad mil sakti hai. neez, chunkay perimenopause ke douran toleedi halaat jaisay polistick ovary sndrom ( pcos ) ka hona ya peda hona ab bhi mumkin hai, is liye yeh janna zaroori hai ke perimenopause ki mumkina alamaat kya hain, aur kon si alamaat kisi aur cheez ki alamat hosakti hain. jo anay wala hai is ke liye tayyar rehne mein koi harj nahi ?"
When will my perimenopause start? ,"The exact start of perimenopause—the transition into menopause—is hard to pinpoint. One study that tracked women as they transitioned into menopause found that menstrual irregularity began on average between ages 47 and 48. But it can begin much earlier or later. In that same study, of those who were still menstruating at age 45, about 1 in 3 reported menstrual irregularity. At age 52, about 1 in 10 reported that they were still menstruating normally. There are other perimenopausal changes and symptoms that may be felt before menstrual irregularity begins, which may help in identifying a different starting point of perimenopause, but more research is needed.",mera perimenopause kab shuru hoga ?,"perimenopause ka sahih aaghaz — rajonorroti mein muntaqili — ki nishandahi karna mushkil hai. aik tehqeeq jis ne khawateen ko rajonoorti/menopause mein muntaqili ke douran track kya is se maloom sun-hwa ke mahvari ki be qaidgi ausatan 47 aur 48 saal ki Umar ke darmiyan shuru hui. lekin yeh bohat pehlay ya baad mein shuru ho sakti hai. isi tehqeeq mein, un logon mein se jo 45 saal ki Umar mein bhi mahvari mein thay, taqreeban 3 mein se 1 ne mahvari ki be qaidgi ki ittila di. 52 saal ki Umar mein, taqreeban 10 mein se 1 ne ittila di ke woh ab bhi aam tor par mahvari mein hain. perimenopause ki doosri tabdeelian aur alamaat hain jo mahvari ki be qaidgi shuru honay se pehlay mehsoos ki ja sakti hain, jo perimenopause ke mukhtalif nuqta aaghaz ki nishandahi karne mein madad kar sakti hain, lekin mazeed tehqeeq ki zaroorat hai ."
What is the average age of menopause?,"Menopause—when periods actually stop— happens on average at age 51, but most people reach it anywhere between ages 45–55.",rajonoorti/menopause ki osatan Umar kya hai ?,"rajonoorti/menopause - jab mahvari waqai ruk jati hai - ostan 51 saal ki Umar mein hota hai, lekin ziyada tar log usay 45-55 saal ki Umar ke darmiyan kahin bhi pahonch jatay hain ."
How long does menopause last? (How long does perimenopause last?),"You might ask: how long does menopause last? Perimenopause is the transition period, and menopause is the time after your last period. 

The menstrual cycle irregularities of perimenopause last an average of about 4 years, from the beginning of menstrual irregularity to the last period. But it can last anywhere from a few months to ~8 years. About 1 in 10 people may experience the transition more abruptly, with only a few months of menstrual irregularity. These people also tend to report fewer symptoms like hot flashes",rajonoorti/menopause kitni der tak rehti hai? ( perimenopause kab tak rehta hai? ),"aap pooch satke hain : rajonoorti/menopause kitni der tak rehti hai? perimenopause muntaqili ki muddat hai, aur rajonoorti/menopause aap ki aakhri muddat ke baad ka waqt hai .
 
 mahvari ki be qaadgyon ke douran mahvari ki be qaidgi mahvari ki be qaidgi ke aaghaz se aakhri muddat tak ausatan 4 saal tak rehti hai. lekin yeh chand mahino se ~ 8 saal tak kahin bhi reh sakta hai. taqreeban 10 mein se 1 afraad ko haiz ki be qaidgi ke chand mahino ke sath, ziyada achanak muntaqili ka tajurbah ho sakta hai. yeh log garam chamak jaisi kam alamaat ki ittila dete hain ."
What can affect the age of menopause?,"Smoking: yes.

Hormonal birth control: maybe. 

Your genetics, environment, and lifestyle may all play a role in how you experience perimenopause, and the timing of perimenopause and menopause. People who reach menopause later in life tend to have shorter transitions. Smokers tend to be slightly younger at perimenopause and have shorter transitions, reaching menopause about a year earlier than average. There are likely other differences due to ethnic background and/or related environmental and behavioral factors, such as living in a village or living in an urban city but more research is needed on this topic.",rajonoorti/menopause ki Umar ko kya mutasir kar sakta hai ?,"tambaku noshi : haan .
 
 hormonal birth control : shayad .
 
 aap ki jinyat, mahol aur tarz zindagi sabhi is mein kirdaar ada kar satke hain ke aap kis terhan perimenopause ka tajurbah karte hain, aur perimenopause aur rajonoorti/menopause ke waqt. jo log baad ki zindagi mein rajonoorti/menopause tak pahonch jatay hain un mein mukhtasir transition hotay hain. tambaku noshi karne walay perimenopause ke waqt qadray kam Umar hotay hain aur un ki muntaqili mukhtasir hoti hai, ost se taqreeban aik saal pehlay rajonoorti/menopause tak pahonch jati hai. nasli pas manzar aur ya mutaliqa maholiyati aur ravayye ke awamil ki wajah se mumkina tor par deegar ikhtilafat hain, jaisay ke gaon mein rehna ya shehri shehar mein rehna lekin is mauzo par mazeed tehqeeq ki zaroorat hai ."
Can my history of pregnancy and oral contraceptives affect this age?,"A person’s pregnancy history and their history of oral contraceptives (OCs) use might delay menopause. Studies on the topic are mixed—some studies have found an association, and others not—and the biological reason why this would be the case (if true) is not fully understood. Although being pregnant and using OCs suppresses ovulation, they don’t suppress the development (and death) of eggs prior to the point of ovulation, so why using OCs would impact timing of menopause is still unclear.",kya meri hamal ki tareekh aur zabani Maney hamal adwiyaat is Umar ko mutasir kar sakti hain ?,"kisi shakhs ki hamal ki tareekh aur zabani Maney hamal adwiyaat ( ocs ) ke istemaal ki tareekh rajonoorti/menopause mein takheer kar sakti hai. is mauzo par mutalay miley jalay hain — kuch mtalaat mein association ka pata chala hai, aur doosron ko nahi — aur is ki hayatiati wajah ( agar sach hai ) to poori terhan samajh nahi aayi hai. agarchay haamla honay aur ocs ka istemaal beza daani/ovary ko dabata hai, lekin woh beza daani/ovary se pehlay andon ki nashonuma ( aur mout ) ko nahi dabatay, is liye kyun ocs ka istemaal rajonoorti/menopause ke waqt ko mutasir kere ga, yeh abhi tak wazeh nahi hai ."
What will my common changes and symptoms be in my perimenopause,"Here are some symptoms you might experience:
Hot flashes (aka hot flushes) 
Sweating 
Disturbed sleep 
Changes in mood and anxiety 
Migraines 
Increased forgetfulness 
Changes in sexual desire 
Vaginal dryness and itchiness
Lowered fertility/infertility
Increased abdominal body fat. 
Lasting physical changes to be aware of include loss of bone density, vaginal dryness, changes in urination function, and changes in sexual function. 

Fortunately, the end of menstrual cycles also means the end of any negative symptoms you may have experienced during your cycle, like cramps, as well as the risk of unintended pregnancy.",mere perimenopause mein meri aam tabdeelian aur alamaat kya hon gi .,"yahan kuch alamaat hain jo aap tajurbah kar satke hain :
 garam chamak ( urf ﮦat flushes )
 paseena aa raha hai .
 neend mein khlal
 mood aur iztiraab mein tabdeeli
 dard shaqeeqa
 bholeain mein izafah
 jinsi khwahish mein tabdeelian
 andaam nihani/vagina ki khushki aur kharish
 kam zarkhaizi banjh pan
 pait mein jism ki charbi mein izafah .
 dairpa jismani tabdeelion ke baray mein aagah hona jin mein hadion ki kasafat ka nuqsaan, andaam nihani/vagina ki khushki, pishaab ke amal mein tabdeeli, aur jinsi feal mein tabdeelian shaamil hain .
 
 khush qismati se, mahvari ke khatam honay ka matlab yeh bhi hai ke aap ne –apne cycle ke douran jo bhi manfi alamaat ka tajurbah kya ho, jaisay dard, neez ghair iraadi hamal ka khatrah ."
How will my menstrual cycle changes before and during perimenopause,"You may notice that your period arrives slightly earlier each cycle (ie shorter menstrual cycles) and is heavier.

As you approach perimenopause, your hormone levels begin to change. This happens before your periods become unpredictable. For some people, one of the earliest signs of perimenopause is that their periods arrive slightly earlier—meaning that their menstrual cycle shortens, by ~2–4 days. Before perimenopause, estrogen levels can actually rise for a while, and progesterone levels typically decrease . This is what shortens the follicular phase, and may also cause other changes, symptoms, or sensations. You may notice changes to the heaviness of your period during this time. Lower progesterone—with or without higher estrogen—may also lead to heavier periods, which is more common in early perimenopause.",perimenopause se pehlay aur is ke douran mera mahvari kaisay badlay ga .,"aap mehsoos kar satke hain ke aap ka mahvari har chakkar se thora pehlay aata hai ( yani mahvari ke chhootey daur ) aur yeh ziyada bhaari hai .
 
 jaisay jaisay aap perimenopause ke qareeb pahunchte hain, aap ke hormone ki satah tabdeel hona shuru hojati hai. yeh aap ke mahvari ke ghair mutawaqqa honay se pehlay hota hai. kuch logon ke liye, perimenopause ki ibtidayi alamaat mein se aik yeh hai ke un ki mahvari qadray pehlay aati hai yahni un ka mahvari ~ 2–4 din tak kam ho jata hai. perimenopause se pehlay, astrogen ki satah darasal thori der ke liye barh sakti hai, aur progesterone ki satah aam tor par kam ho jati hai. yeh woh cheez hai jo patak ke marhalay ko mukhtasir karti hai, aur deegar tabdeelion, alamaat ya ehsasat ka sabab bhi ban sakti hai. is douran aap apni mahvari ke bhaari pan mein tabdeelian mehsoos kar satke hain. kam progesterone — ziyada progesterone ke sath ya is ke baghair — bhaari adwaar ka baais bhi ban sakta hai, jo ke ibtidayi perimenopause mein ziyada aam hai ."
What happens next?,"Later, you may have irregular cycles and bleeding changes. 

As the number of follicles in your ovaries decreases, ovulation becomes less common, and hormone levels start to fluctuate more and more. Menstrual cycles might become longer, and then progressively more variable—longer and shorter, with menstrual periods that are heavier, lighter, and far less predictable . 

The heaviness of your period will also fluctuate. Cycles without ovulation may have lighter periods, while periods that come after a long cycle may be long. On average, about 6 of the final 10 cycles before menopause are prolonged and anovulatory (where ovulation doesn’t occur). In the 1-2 years before menopause, it’s common for cycles to last more than 5 weeks. ",uge kya hota hai ?,"baad mein, aap ko fasid chakkar aur khoon behnay mein tabdeelian ho sakti hain .
 
 jaisay jaisay aap ke beza daani/ovary mein yatko ki tadaad kam hoti jati hai, beza daani/ovary kam hoti jati hai, aur hormone ki satah ziyada se ziyada utaar charhao shuru hoti hai. mahvari ke chakkar lambay, aur phir batadreej ziyada mutaghayyar ho satke lambay aur chhootey, mahvari ke sath jo bhaari, halkay, aur is se kahin kam mutawaqqa hain .
 
 aap ki muddat ka boojh bhi utaar charhao aaye ga. ovulation ke baghair cyclon ke adwaar halkay ho satke hain, jabkay aik taweel cycle ke baad anay walay adwaar taweel ho satke hain. ausatan, rajonooti se pehlay aakhri 10 cyclon mein se taqreeban 6 taweel aur olovaltary hotay hain ( jahan beza nahi hota ). rajonoorti/menopause se pehlay 1-2 saloon mein, cyclon ka 5 hafton se ziyada waqt tak rehna aam hai ."
Do periods end then?,"Eventually, no period it is.

As ovulation becomes rare, your period might go away for months at a time, and then return. This phase lasts between 1-3 years for most people, but again, everyone is different. Eventually, menopause is reached, and cycles comes to an end, along with the period.

About 1 in 10 people may stop menstruating more abruptly, with much less prolonged irregularity.",kya phir mahvari khatam hojati hai ?,"aakhir-kaar, yeh koi muddat nahi hai .
 
 chunkay beza nayaab ho jata hai, aap ki mahvari aik waqt mein mahino ke liye daur ho sakti hai, aur phir wapas aa sakti hai. yeh marhala ziyada tar logon ke liye 1-3 saal ke darmiyan rehta hai, lekin phir, har koi mukhtalif hai. bil akhir, rajonoorti/menopause pahonch jati hai, aur muddat ke sath sath cycle khatam ho jata hai .
 
 taqreeban 10 mein se 1 log haiz ko ziyada achanak rokkk satke hain, bohat kam taweel be qaidgi ke sath ."
How can I manage symptoms of menopause and perimenopause?,"Quick reminder: perimenopause is the transition period before menopause. It is a normal function of the body, but some of the changes it causes can feel uncomfortable, or even rageful. 

If you are experiencing symptoms that affect your quality of life, such as hot flashes, vaginal dryness, changes in mood, or difficulty sleeping, seeing a healthcare provider or a perimenopause specialist can be a good idea. ",mein rajonoorti/menopause aur perimenopause ki alamaat ko kaisay munazzam kar sakta hon ?,"fori yaad dehani : perimenopause rajonoorti/menopause se pehlay ki muntaqili ki muddat hai. yeh jism ka aik aam kaam hai, lekin is ki wajah se honay wali kuch tabdeelian be cheeni, ya ghusse mein bhi mehsoos kar sakti hain .
 
 agar aap alamaat ka saamna kar rahay hain jo aap ke miyaar zindagi ko mutasir karti hain, jaisay garam chamak, andaam nihani/vagina ki khushki, mood mein tabdeeli, ya sonay mein dushwari, sehat ki dekh bhaal faraham karne walay ya perimenopause ke maahir se milna aik acha khayaal ho sakta hai ."
When should I see a healthcare provider regarding menopause and perimenopause?,"If you are concerned about the heaviness or length of your period, you experience any spotting or bleeding after reaching full menopause, you experience any spotting or bleeding after reaching full menopause or see abnormal bleeding during perimenopause or after menopause, you should go see a heath provider. If you notice that you bleed between periods, especially if you have a history of polycystic ovary syndrome (PCOS), are higher weight, have a family history of uterine cancer, or have taken estrogen-only hormone therapy or certain medications to prevent breast cancer, you should definitely meet a health provider.  Of course, if you have any doubts and see anything unusual, you should always get your questions answered by asking an expert, like myself! ",mujhe Rajonoooorti aur perimenopause ke hawalay se sehat ki dekh bhaal faraham karne walay se kab milna chahiye ?,"agar aap apni muddat ke wazan ya Tawalat ke baray mein fikar mand hain, aap ko mukammal rajonoorti/menopause tak pounchanay ke baad kisi qisam ke dhabbay ya khoon behnay ka tajurbah hota hai, aap ko mukammal rajonoorti/menopause tak pounchanay ke baad koi dhabba ya khoon behna mehsoos hota hai ya perimenopause ke douran ya rajonoorti/menopause ke baad ghair mamooli khoon behna nazar aata hai, aap ko aik hith ke paas jana chahiye. faraham kanandah agar aap dekhte hain ke aap ko mahvari ke darmiyan khoon aata hai, khaas tor par agar aap ki polistick ovary sndrom ( pcos ) ki tareekh hai, wazan ziyada hai, bacha daani/uterus ke cancer ki khandani tareekh hai, ya chhaati ke cancer se bachney ke liye sirf istrogen hormone therapy ya kuch duwaein li hain., aap ko yakeeni tor par sehat faraham karne walay se milna chahiye. bilashuba, agar aap ko koi shak hai aur aap ko koi ghair mamooli cheez nazar aati hai, to aap ko hamesha –apne sawalaat ke jawabaat kisi maahir se pooch kar haasil karne chahiye, jaisa ke meri terhan !"
What else should I know regarding menopause and perimenopause?,"Some more information regarding bleeding in perimenopause and menopause that you should be aware of. Although changes in bleeding are to be expected during perimenopause, some bleeding changes may be caused by abnormal changes to your endometrium (i.e. the lining of your uterus). If the endometrium becomes too thick and irregular, it can develop into cancer, but this can usually be prevented if caught early. Also, In some cases, bleeding continues after menopause. It is easy to mistake this type of bleeding for symptoms of perimenopause, which may mislead someone to think they have not reached full-menopause when they actually have. ",mujhe Rajoonoorti aur perimenopause ke baray mein aur kya janna chahiye ?,"perimenopause aur rajonoorti/menopause mein khoon behnay se mutaliq kuch mazeed maloomat jin se aap ko aagah hona chahiye. agarchay perimenopause ke douran khoon behnay mein tabdeelion ki tawaqqa ki jati hai, lekin khoon behnay mein kuch tabdeelian aap ke endometrium ( yani aap ke reham ki parat ) mein ghair mamooli tabdeelion ki wajah se hosakti hain. agar endometrium bohat gaarha aur be qaida ho jaye to yeh cancer mein tabdeel ho sakta hai, lekin agar usay jald pakar liya jaye to usay umooman roka ja sakta hai. is ke ilawa, baaz sooraton mein, rajonoorti/menopause ke baad khoon behna jari rehta hai. is qisam ke khoon behnay ko perimenopause ki alamaat samajh kar ghalti karna aasaan hai, jo kisi ko yeh sochnay mein gumraah kar sakta hai ke jab woh haqeeqat mein mukammal rajonoorti/menopause tak nahi puhanche hain ."
Is bleeding after menopause normal?,"Any spotting or bleeding after menopause is abnormal and should be checked out by a healthcare provider. Spotting or bleeding after menopause can be caused by a medical condition, such as uterine polyps. Uterine polyps are growths on the inside lining of the uterus (the endometrium), and become more common with age",kya rajonoorti/menopause ke baad khoon behna mamool hai ?,"rajonoorti/menopause ke baad koi dhabba ya khoon behna ghair mamooli hai aur usay sehat ki dekh bhaal faraham karne walay se check karana chahiye. rajonoorti/menopause ke baad dhabbay ya khoon aana kisi tibbi haalat ki wajah se ho sakta hai, jaisay yotrn polyps. bacha daani/uterus ke polyps bacha daani/uterus ki androoni aster/lining par barhatay hain aur Umar ke sath ziyada aam ho jatay hain ."
Thank you for your help,No problem,aap ki madad ke liye aap ka shukriya,koi masla nahi
I need help fast,"Hello, how can I help?",mujhe jaldi madad ki zaroorat hai .,"hello, mein kaisay madad kar sakta hon ?"
I don't know what are uterine polyps. Can you please tell me what are they?,"Have you been noticing irregular vaginal bleeding? This might be because of uterine polyps. Uterine polyps, also called endometrial polyps, are abnormal growths on the inside lining of the uterus (the endometrium). 
Uterine polyps are very common. They occur most commonly leading up to and after menopause, your nani might know someone. Small polyps may cause no symptoms at all and can go away on their own. In other cases, untreated polyps may cause symptoms that affect quality of life and can carry a small chance of becoming cancerous. They may also affect fertility, but research on this topic is still lacking.

Nearly all symptoms of uterine polyps are easy to track. Finding out early and early treatment can reduce the risk of complications.",mujhe nahi maloom ke uterine polyps kya hain. kya aap mujhe bta satke hain ke woh kya hain ?,"kya aap andaam nihani/vagina se be qaida khoon behnay ko dekh rahay hain? yeh uterine polyps ki wajah se ho sakta hai. uterine polyps, jisay endometrial polyps bhi kaha jata hai, bacha daani/uterus ki androoni aster/lining ( endometrium ) par ghair mamooli nashonuma hai .
 yotrn polyps bohat aam hain. yeh aam tor par rajonoorti/menopause tak aur is ke baad hotay hain, aap ki nani kisi ko jaan sakti hain. chhootey polyps koi alamaat peda nahi kar saktay hain aur khud hi daur ho saktay hain. doosri sooraton mein, ilaaj nah kiye jane walay polyps aisi alamaat ka sabab ban satke hain jo zindagi ke miyaar ko mutasir karte hain aur cancer ban'nay ka aik chhota sa imkaan le satke hain. woh zarkhaizi ko bhi mutasir kar satke hain, lekin is mauzo par tehqeeq ka fuqdaan hai .
 
 uterine polyps ki taqreeban tamam alamaat ka pata lagana aasaan hai. ibtidayi aur jald ilaaj ka pata lagana pechidgion ke khatray ko kam kar sakta hai ."
